peakCallingID	targetID	controlID
WTBend6-5_vs_WTinput	WT_M_40wk_BEND6-5_LRCTX_ME240724-A2_N2K263_14062	WT_M_40wk_input_LRCTX_ME240724-A5_N2K263_14062
WTBend6-6_vs_WTinput	WT_M_40wk_BEND6-6_LRCTX_ME240724-A3_N2K263_14062	WT_M_40wk_input_LRCTX_ME240724-A5_N2K263_14062
WTV5_vs_WTinput	WT_M_40wk_V5_LRCTX_ME240724-A4_N2K263_14062	WT_M_40wk_input_LRCTX_ME240724-A5_N2K263_14062
KOBend6-5_vs_KOinput	Bend6KO_M_40wk_BEND6-5_LRCTX_ME240724-C2_N2K263_14062	Bend6KO_M_40wk_input_LRCTX_ME240724-C5_N263_14062
KOBend6-6_vs_KOinput	Bend6KO_M_40wk_BEND6-6_LRCTX_ME240724-C3_N2K263_14062	Bend6KO_M_40wk_input_LRCTX_ME240724-C5_N263_14062
V5tagBend6-5_vs_V5taginput	Bend6-V5-2_M_31wk_BEND6-5_LRCTX_ME240724-B2_N2K263_14062	Bend6-V5-2_M_31wk_input_LRCTX_ME240724-B5_N2K263_14062
V5tagBend6-6_vs_V5taginput	Bend6-V5-2_M_31wk_BEND6-6_LRCTX_ME240724-B3_N2K263_14062	Bend6-V5-2_M_31wk_input_LRCTX_ME240724-B5_N2K263_14062
V5tagV5_vs_V5taginput	Bend6-V5-2_M_31wk_V5_LRCTX_ME240724-B4_N2K263_14062	Bend6-V5-2_M_31wk_input_LRCTX_ME240724-B5_N2K263_14062
WTBend6-5_vs_KOBend6-5	WT_F_41wk_BEND6-5_LRCTX_ME240724-D2_N2K263_14062	Bend6KO_M_40wk_BEND6-5_LRCTX_ME240724-C2_N2K263_14062
WTBend6-6_vs_KOBend6-6	WT_M_40wk_BEND6-6_LRCTX_ME240724-A3_N2K263_14062	Bend6KO_M_40wk_BEND6-6_LRCTX_ME240724-C3_N2K263_14062
V5tagV5_vs_WTV5	Bend6-V5-2_M_31wk_V5_LRCTX_ME240724-B4_N2K263_14062	WT_M_40wk_V5_LRCTX_ME240724-A4_N2K263_14062